,Dampener final
2021-06-30,0.056588835969938016
2021-03-31,0.03599449455759122
2020-12-31,-0.004790601736715298
2020-09-30,-0.0643455851161622
2020-06-30,-0.06724753336278642
2020-03-31,-0.1
2019-12-31,-0.0007594467305950744
2019-09-30,-0.019670477245716425
2019-06-30,-0.01715271684123285
2019-03-31,-0.021969058168454837
2018-12-31,-0.06336783367700542
2018-09-30,0.0013826060556735367
2018-06-30,-0.0011110087361847834
2018-03-31,-0.008841976745648888
2017-12-31,0.019007361994951164
2017-09-30,0.023961890662686718
2017-06-30,0.008981352073889719
2017-03-31,0.013636183985354114
2016-12-31,-0.014372759017022473
2016-09-30,-0.04894207109196946
2016-06-30,-0.07159824813325162
2016-03-31,-0.051629922065968066
